FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
14264,1.062813165,0.166200743,0.590710345,0,1.429027581,196.1830605,6.662548014,0
14265,1.063261626,0.166136787,0.590662833,0,1.167421548,128.8656056,7.66072361,1
14266,1.086080615,0.172500969,0.6113573,310.7233216,1.461696394,1141.528126,4.806254296,0
14267,1.084136228,0.172418378,0.610822465,245.8762361,0.913630726,868.0786078,5.899048363,1
14268,1.084893388,0.172450585,0.611030863,260.9547152,1.114211777,974.689242,5.605355971,1
14269,1.058534872,0.167691258,0.593284085,518.7715484,3.296734923,1423.182965,4.963287946,0
14270,1.070927876,0.158769333,0.574149487,460.5134598,3.971588169,882.5526658,5.35501446,0
14271,1.067098351,0.159831769,0.575900973,416.4409026,3.784650898,610.4321136,5.446336859,0
14272,1.067832541,0.159644828,0.575603547,413.743648,3.776393021,655.1057335,7.60378015,0
14273,1.069334542,0.159204788,0.57486139,431.4448995,3.892458336,796.4335077,5.730903654,0
14274,1.093241693,0.172759051,0.613242135,386.9239917,2.511071543,1423.215623,5.149714933,0
14275,1.066468287,0.160039952,0.576278406,387.2534863,3.745345064,544.2702934,7.962826479,0
14276,1.056686977,0.163562075,0.58277897,436.2978999,3.309706189,705.0579309,4.909734421,0
14277,1.057282889,0.16350502,0.582783672,396.6077464,3.666640469,676.3590077,5.45627353,0
14278,1.057975649,0.163197582,0.582187711,397.0304164,3.657147366,776.5671771,6.821074685,0
14279,1.058806049,0.162862204,0.581545386,380.8397447,3.888847709,702.4191204,5.150404322,0
14280,1.059730481,0.162560194,0.581001092,361.342544,4.008362853,546.8227126,5.005150045,0
14281,1.060621808,0.162151438,0.580189055,353.2026424,4.202150613,463.8794351,5.038850423,0
14282,1.06165188,0.161734332,0.579381641,351.5793833,4.348122001,397.324564,4.798965802,0
14283,1.062749778,0.161311071,0.578584147,351.7174664,4.155148201,351.5864629,5.642122644,0
14284,1.063866707,0.160890832,0.577796031,356.0316891,4.025430369,386.9232015,4.841671965,0
14285,1.065096335,0.160461677,0.577014214,372.5372406,3.820330324,468.1049234,5.936628159,0
14286,1.061762561,0.168173148,0.59514096,448.8983186,2.63492665,1528.803883,4.588654954,0
14287,1.061911174,0.168471373,0.59587682,534.1311939,3.292951941,1743.469177,4.593644798,0
14288,1.061888078,0.168374185,0.595640079,490.8589666,3.068653328,1698.20415,4.465986068,0
14289,1.05893434,0.16713628,0.592081337,411.0983926,2.30010298,961.1930689,7.433189604,0
14290,1.086440186,0.171965597,0.609697402,411.2908159,1.708666462,633.3407289,5.336690763,0
14291,1.084125637,0.171809216,0.608820301,424.2733169,1.291803894,657.0137385,6.114520371,1
14292,1.082002563,0.171498172,0.607579613,305.3885585,1.367350404,357.9580276,8.410230401,0
14293,1.075654278,0.171097297,0.605229877,420.2603931,0.99335486,781.0153142,8.710188452,1
14294,1.077414874,0.171208892,0.605884024,381.4441382,1.010976813,670.0638242,8.847170573,1
14295,1.07978768,0.171360515,0.606766918,343.7341091,1.054204243,507.2885607,8.582348123,1
14296,1.094364029,0.172713795,0.613285408,309.187822,3.471449268,1446.570873,4.001396782,0
14297,1.087016773,0.172359898,0.610917952,498.1141372,2.554123775,1921.756139,6.654425073,0
14298,1.088167058,0.172402109,0.611248526,455.0680595,2.965850937,1862.307477,5.40411808,0
14299,1.089967026,0.172480379,0.61180622,407.7879049,3.047115773,1751.698632,5.759551536,0
14300,1.092108257,0.172588175,0.612510516,358.2768992,4.690398126,1610.049321,4.2804612,0
14301,1.095592719,0.172790754,0.613731317,307.5941833,1.536638118,1357.77959,7.814897877,0
14302,1.082021557,0.171542249,0.607695544,339.5941196,1.028529302,453.1417233,7.84733977,1
14303,1.086203247,0.171839311,0.609326645,320.0722333,1.110952237,295.7891779,8.585219068,1
14304,1.084425666,0.171706848,0.608617212,321.4042001,0.966676072,328.154557,8.678522239,1
14305,1.058604983,0.165010063,0.586793782,262.1615239,4.827054578,42.07878189,5.206516002,0
14306,1.06079261,0.167026496,0.592249624,293.0693544,5.180740225,738.0453415,8.9285787,0
14307,1.060219828,0.166735576,0.591400862,280.6228915,8.687706046,599.1607007,4.971914418,0
14308,1.059647068,0.166391273,0.590422458,272.700878,7.930767084,445.3761291,5.216503756,0
14309,1.059189827,0.16603693,0.58944706,271.9606835,7.051983128,291.2991229,5.279209101,0
14310,1.058858506,0.165677303,0.588487827,273.6004526,6.18577944,173.4542339,5.173599804,0
14311,1.058657791,0.165321574,0.587569729,274.6735138,5.377611522,115.1323398,4.975817216,0
14312,1.087498068,0.171849738,0.609620558,239.8893341,2.561069854,99.12583995,5.206618786,0
14313,1.088187437,0.171907717,0.609907281,241.2110321,2.672832851,143.9965378,5.577316271,0
14314,1.059761823,0.16381071,0.584139643,175.2748306,2.266418334,104.7492515,5.448622797,0
14315,1.059712208,0.163908815,0.584368284,170.9218625,2.016648165,63.4115473,4.880387913,0
14316,1.075099136,0.170203638,0.602930695,203.402771,2.145523401,715.4129149,10.55450307,0
14317,1.076578016,0.170383528,0.603682217,165.6655609,7.717880695,603.7309716,5.838644849,1
14318,1.081731016,0.171146526,0.60665529,120.3850281,2.062620921,186.0033715,6.774623638,0
14319,1.080944719,0.171035139,0.606212339,116.5768761,5.469007927,272.8017739,4.605419412,0
14320,1.079458368,0.170823952,0.605375546,118.271406,10.61748213,419.5820062,5.251513484,0
14321,1.078019766,0.170606665,0.604536781,135.3400834,10.21747175,488.4531372,4.985109067,0
14322,1.068782262,0.169060075,0.598809214,350.6146879,7.169665109,1215.803673,6.778439791,1
14323,1.075018568,0.170137784,0.602753273,204.3432233,6.214525976,746.9435222,8.639332775,0
14324,1.07358892,0.169905602,0.60188494,238.8347442,8.93780756,852.2438735,4.938492578,0
14325,1.071979333,0.16963389,0.600879992,283.6611809,8.858842498,995.7235843,4.623140852,0
14326,1.070338333,0.169348235,0.599836998,328.9726862,9.039717254,1133.227119,4.820880492,0
14327,1.103512513,0.173298724,0.616619222,172.4866293,9.922400513,703.6646975,2.852755043,0
14328,1.094715693,0.172812031,0.613648734,355.5692368,1.528135265,1362.844248,6.929150634,1
14329,1.102918293,0.173261616,0.616406119,173.2632277,9.825630405,757.6736269,4.482601749,0
14330,1.101358228,0.173163831,0.615845862,201.1429635,9.004401254,890.3417574,5.081130671,0
14331,1.09922691,0.173031909,0.615082871,240.1110794,7.87120142,1066.480085,5.040925111,0
14332,1.097169857,0.172915263,0.614379649,285.9923901,5.303394277,1219.315884,4.657262415,0
14333,1.09591461,0.17286058,0.614002366,326.7868381,2.613903843,1288.700821,5.150760149,0
14334,1.081988288,0.171128693,0.606665431,96.63395428,3.669716721,231.8986087,4.234687019,0
14335,1.080448675,0.17091999,0.605823842,97.69266476,11.14853244,360.7014868,4.576271293,0
14336,1.078052061,0.170563419,0.604440171,143.9923284,10.33510778,482.416238,5.174317642,0
14337,1.078984173,0.170704298,0.604982947,115.0400932,10.7308297,419.9718665,5.041931165,0
14338,1.082615258,0.171180355,0.60692564,82.62674365,3.185090458,195.0542867,5.2123899,0
14339,1.080954181,0.170962405,0.606035445,84.29040995,10.87226845,321.7731755,4.790845142,0
14340,1.078239541,0.170581667,0.604518265,140.3617641,10.33546942,460.2041359,4.934192139,0
