FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
985,1.038033002,0.173732837,0.539931993,960.7995881,3.487266621,1234.979994,7.162625692,1,0.7279604047843166,1,1
7491,1.039845001,0.162384617,0.546136412,621.4975818,3.093656804,790.5559181,4.761426496,0,0.16269775809517115,0,1
1513,1.029802097,0.173334098,0.541864028,449.3164507,2.791649481,916.1199307,5.613444189,1,0.5314032358117042,1,1
15666,1.006780355,0.173628183,0.588502933,330.5851257,3.267174602,1071.049037,5.254638471,0,0.12819387798931828,0,1
7111,0.990711795,0.174331533,0.565118918,104.9622726,1.418903862,382.9742048,4.722600982,0,0.4224541985895152,0,1
10920,1.009265747,0.168651996,0.569521126,815.0488963,1.302633296,1887.271761,7.043412818,1,0.8962814363683537,1,1
7700,1.075084011,0.155603491,0.535017523,906.0934812,3.216228387,2285.123136,5.362378192,1,0.5895813826891061,1,1
11802,0.972846038,0.165309952,0.56058892,353.9937297,2.276809526,1235.972809,5.217727254,0,0.22676345800753944,0,1
15128,1.0278455,0.166094522,0.574435024,561.9123651,2.607186664,1763.879666,10.08098221,1,0.8882143366009831,1,1
2383,1.034195024,0.171521237,0.539605516,867.3038452,2.658151935,1262.110372,8.407746753,1,0.8759978794593473,1,1
15123,1.008073507,0.173709983,0.588613188,285.3201738,3.100158519,974.5888181,6.502884449,0,0.2343348140335411,0,1
171,0.955696186,0.177397099,0.557104797,385.1032972,3.612308603,1335.14793,4.393712614,0,0.11756624570408845,0,1
2846,0.918238914,0.168472269,0.552324456,3.378919771,0.598553769,43.09993274,5.552838217,1,0.8664357129002502,1,1
855,1.050267418,0.173348617,0.537230954,1508.441218,3.620363905,2377.731502,9.439645119,1,0.8699736365076454,1,1
11867,1.002250838,0.167904178,0.568231574,597.5562882,2.61260575,2195.994485,4.781137139,0,0.17759138287440213,0,1
4096,0.968681199,0.172669007,0.561113279,10.83357617,0.725141975,46.3297809,6.87338724,1,0.8892670252506034,1,1
11933,0.988638211,0.168229607,0.565655272,887.428376,2.110671504,3146.320131,6.319222026,1,0.8388487420816515,1,1
14750,1.099429632,0.172823886,0.61455039,140.2823085,1.140307443,591.9508395,6.321467559,1,0.8151537425622688,1,1
8367,1.029473702,0.170592601,0.561503577,754.3638245,2.870980207,1588.761445,7.15212421,1,0.7787223885905241,1,1
11900,1.032178396,0.16514435,0.559225927,513.9632832,2.942923467,708.0401658,7.801322535,1,0.8019137968834581,1,1
15382,1.003768415,0.174713869,0.588538544,267.206897,3.100016629,509.4556704,5.140860729,0,0.1284004676166028,0,1
13791,1.03325502,0.167332518,0.575569146,109.0828653,2.425748036,437.5704621,5.192866059,0,0.18121407742495743,0,1
10403,1.030044391,0.170951819,0.563002833,333.0332506,2.290530076,574.0863585,7.931735541,1,0.8592382596782491,1,1
16679,1.050272839,0.159694029,0.568675669,700.3582341,3.703027748,1258.206056,5.660211837,0,0.13916131198495846,0,1
17209,1.06424151,0.172519924,0.567903152,174.3389262,1.952041735,680.1933745,5.44272738,1,0.625311653369632,1,1
7825,0.952921259,0.168040507,0.558025253,908.8388736,2.879759743,3205.197643,7.172922371,1,0.7019288128474889,1,1
