FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
6642,0.922458359,0.150671336,0.528182213,219.7666511,2.290736616,275.0520922,5.263929453,0,0.32823247,0,1
9725,0.938161701,0.160480987,0.547768264,488.9245466,2.2862742,1140.057086,5.96898039,1,0.59469193,1,1
16991,1.081657938,0.154075675,0.563960195,850.8162052,3.427386207,1333.928955,6.54380056,1,0.7411753,1,1
10519,0.939207727,0.16211533,0.550253845,953.0960993,2.724156024,1870.990015,4.771203122,0,0.13664684,0,1
3813,0.903590639,0.161892123,0.543201568,82.13394387,0.896776989,306.941885,5.973163916,1,0.9689211,1,1
2007,1.011321172,0.173001072,0.547776493,52.38831687,2.922031799,198.9073167,4.440588308,0,0.08467038,0,1
107,1.011132721,0.173937225,0.545026008,918.0504655,3.430387919,1184.466472,4.750425363,0,0.24353307,0,1
9445,1.001372786,0.171557272,0.567160106,559.3655261,3.237775182,1530.378027,4.894376438,0,0.15449893,0,1
16132,1.032252704,0.170499951,0.59637057,154.3156813,1.327677623,568.6517342,4.734016612,1,0.5363478,1,1
17292,0.925639602,0.175253684,0.553222516,29.39294425,1.266808441,113.4403014,6.348353008,1,0.8607768,1,1
1460,1.030887568,0.170722095,0.539917983,947.0608231,3.685255372,1513.80633,5.130694763,0,0.19407003,0,1
4181,1.012214101,0.171008422,0.555502472,68.91653888,2.597449986,253.625035,7.258810419,1,0.6008071,1,1
1875,1.036238842,0.170480128,0.537659306,1327.257659,3.829682285,681.0445679,4.889494275,0,0.16713028,0,1
625,0.998346149,0.174164338,0.54773217,634.0675513,2.919019706,572.0425074,4.817533423,0,0.24353307,0,1
16913,0.902426423,0.185368092,0.588223103,102.7693323,2.746123613,377.3366205,5.614766626,0,0.044463813,0,1
5518,1.018201637,0.168487474,0.549881132,55.01935957,2.368283676,192.8651141,4.631486597,0,0.103478074,0,1
15420,1.034347656,0.166526384,0.55751679,1368.685182,8.897549915,83.4507789,4.156020191,0,0.08691726,0,1
15032,0.915720162,0.18125672,0.58352498,83.87364581,1.947104487,313.6766007,4.808312373,0,0.07280146,0,1
12310,1.040020399,0.164530035,0.561731736,1113.689254,3.474933982,1932.179292,5.096794696,0,0.18085591,0,1
9405,0.950066918,0.163618349,0.554009506,864.0639164,1.880418776,2672.968469,8.471721084,1,0.91799206,1,1
13302,1.056926558,0.167991813,0.578086188,846.5845405,1.227746046,1677.631354,8.090414788,1,0.9326294,1,1
2027,0.908450233,0.182759675,0.568197083,234.3148711,3.295772293,842.4754515,4.878554939,0,0.04215578,0,1
15189,1.03447853,0.166515691,0.557417255,1384.635097,9.558973878,35.73041927,4.573330616,0,0.10030169,0,1
8826,1.062310488,0.15778726,0.544154841,1055.093154,3.612269344,1161.301039,4.264045229,0,0.15931979,0,1
7604,0.989210558,0.173563279,0.565469763,501.6733135,2.824435968,1051.130087,5.09613568,0,0.16566364,0,1
16993,1.0752494,0.154941202,0.564442276,827.2905465,3.521722637,1473.426686,4.848589943,0,0.33229998,0,1
16593,0.914530431,0.160856559,0.555411451,128.9331822,1.728421682,458.2746874,8.762366372,1,0.9019147,1,1
14984,0.982079397,0.169616011,0.584857012,721.7771924,1.97146056,2466.978012,6.160066579,1,0.7850141,1,1
