FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
5777,0.922106445,0.155104312,0.535439466,893.3327683,2.660746593,1154.791394,4.929764419,0,0.33677169818165414,0,1
8495,0.978752263,0.172029708,0.564116677,650.7869234,2.36966511,1538.216595,7.368081964,1,0.755111554799708,1,1
10161,0.932171156,0.158319651,0.543108015,18.65038859,1.17440861,183.8237476,6.555644965,1,0.7792063769298255,1,1
1465,1.034590246,0.17245067,0.540404243,496.4834109,2.832673378,244.9626521,7.564935268,1,0.7893015519398169,1,1
16918,1.034930848,0.167110019,0.558123847,1240.944988,2.798944766,581.4622385,6.342381588,1,0.6774775221964463,1,1
11050,1.020866615,0.168231509,0.563183936,522.4642088,3.836427874,1345.995609,4.5563782,0,0.08081341921141459,0,1
11268,0.998254117,0.167954936,0.567433166,692.6115236,2.623229951,2474.313454,4.223394953,0,0.22933677695363744,0,1
5243,1.028967594,0.165702367,0.543480214,391.7758764,2.871852433,842.2626875,5.801657375,0,0.47138906361508376,0,1
16172,1.014996586,0.171802418,0.587671737,635.2659237,2.160652289,2025.388056,8.482601287,1,0.8826806058485629,1,1
11619,0.987977387,0.168133251,0.56550458,863.8167644,1.988928026,3051.877631,6.746360863,1,0.8283726275011435,1,1
9887,1.043975381,0.162208346,0.551777371,253.9442445,3.257269519,807.6191705,4.091209837,0,0.11909555819454208,0,1
3011,0.909856635,0.165334129,0.548316493,274.4788086,1.743858492,572.6976035,4.867183974,0,0.3458253781964961,0,1
16699,1.002400025,0.170786458,0.589300665,999.4334936,1.380105758,1631.766858,8.884793983,1,0.9648072716944716,1,1
8154,0.963731539,0.170511733,0.561390233,891.7216335,2.387120508,2165.563441,5.328198848,0,0.4637969235349078,0,1
10499,1.020374276,0.174557705,0.56867327,10.91326263,2.094847612,47.34932447,4.599029415,0,0.23969155324242777,0,1
13259,1.056728855,0.165983139,0.571919218,610.3319668,3.437273084,1459.971664,4.801876258,0,0.1647859558163343,0,1
14390,1.058981715,0.16361045,0.583457087,261.8339808,4.952835677,340.8663878,5.115149636,0,0.021035460449866865,0,1
8218,1.05923938,0.158364082,0.538233279,1113.480668,3.042072674,547.2550277,4.456146972,0,0.3950062418081368,0,1
8607,0.976364224,0.171361241,0.564024907,720.599669,2.610729501,1987.415954,6.829755651,1,0.6387880779908477,1,1
292,1.04139646,0.173812484,0.539303743,1075.749304,3.544447861,1549.973228,7.383282882,1,0.7569387683302253,1,1
5347,0.981274225,0.173823464,0.56122166,43.34506323,1.931438679,206.5356581,5.252785598,0,0.3627668856594749,0,1
14516,1.061175185,0.165646039,0.588964714,95.23559749,1.900884858,292.4129757,4.441562456,0,0.25485449239179375,0,1
12663,1.028087314,0.167186762,0.566075766,1061.63465,2.968109139,1566.333362,7.53044624,1,0.7720959636182441,1,1
1212,0.992948593,0.174025358,0.549146894,472.1948665,2.89678274,425.0983264,5.331977007,0,0.29277968263058834,0,1
11890,0.987285352,0.166015624,0.564494458,92.1381525,0.932952548,391.5539758,8.724043804,1,0.9600589965433552,1,1
16423,0.907291772,0.183188462,0.585699996,60.78783256,1.921388965,213.6082669,4.726619558,0,0.11930273611158333,0,1
6491,1.061882489,0.158262649,0.532556128,1231.563515,2.242801117,481.3618306,8.3367982,1,0.9726768953275794,1,1
7660,1.050414009,0.177512657,0.571940255,106.1517664,2.814195803,203.8250811,4.22942503,0,0.1197427340181429,0,1
10441,1.077620887,0.155037085,0.540344931,1083.43638,2.987332868,617.8350675,6.941231619,1,0.823711497530188,1,1
9386,1.037685675,0.163813524,0.55401191,174.3564858,2.734111154,403.8780241,4.414890164,0,0.19950364045457863,0,1
7631,1.030111458,0.166151046,0.554127591,815.3366662,3.262754892,1476.71187,5.627682367,0,0.38683118025526314,0,1
8509,1.035690263,0.173797463,0.566507125,579.6230377,1.972364694,1210.182522,6.413654773,1,0.7577839381344817,1,1
2996,0.970367438,0.173359659,0.55748104,58.95519876,1.914566661,244.4786076,4.825728034,0,0.3016192226858946,0,1
4308,0.914071782,0.157475448,0.537751526,260.7545204,1.405581047,194.0626833,5.050301305,1,0.51687169000131,1,1
15882,1.061828642,0.163355267,0.583524473,70.38949203,1.265950337,241.5680962,8.236134419,1,0.9268578943632755,1,1
674,1.045670568,0.172489856,0.536809444,1786.778997,4.745408726,2673.889664,4.709985774,0,0.20486990926690313,0,1
8771,0.930363615,0.1618603,0.547932695,1140.995461,3.326967553,1728.532727,4.599401354,0,0.16888043587061335,0,1
1768,0.905403793,0.182162982,0.567580367,215.7697004,2.922153798,772.3297566,4.906990156,0,0.08166062417523012,0,1
15517,1.028870915,0.165585097,0.574000681,622.3061,2.888014415,1516.430284,6.527242851,1,0.5109259963098961,1,1
13375,1.075104139,0.168493511,0.584877438,659.7236112,1.414732864,1907.249972,5.786144914,1,0.8021437547947753,1,1
4163,1.016757975,0.174542928,0.563669138,326.7068195,3.045053476,276.9097247,5.007419139,0,0.17224500743284096,0,1
13067,1.060836797,0.167089708,0.576323344,541.7036627,2.971384778,1209.194882,4.765936962,0,0.21818929828812744,0,1
13625,1.059139823,0.167846522,0.578195867,734.2967187,3.005878,1493.996321,4.635497527,0,0.22102292523671083,0,1
4867,1.037257509,0.164470648,0.536968664,1009.753397,3.69313151,1333.204069,4.317739252,0,0.20387094208215711,0,1
8190,1.050066507,0.177285879,0.571659427,102.3769185,2.597142968,251.8600633,3.952277916,0,0.12557464104331506,0,1
5519,1.014917078,0.171269997,0.557061416,158.412679,2.736107091,432.6732145,5.159437439,0,0.25245295224556186,0,1
5443,1.020476109,0.167949243,0.548220064,125.4475529,1.832679955,514.9271236,4.890501972,0,0.49331465351471415,0,1
6516,1.054121924,0.177992416,0.572528297,129.2679582,2.763794598,452.1536959,4.455742484,0,0.15517565122920698,0,1
4764,1.018449825,0.176506192,0.56822546,19.45163417,1.736283373,148.2413526,5.474017614,0,0.4802569733733916,0,1
9329,0.930051897,0.159234135,0.544006064,970.1405343,1.621684705,695.7837036,7.322854383,1,0.8943943333823855,1,1
10711,0.923535984,0.153581556,0.533293574,718.1481618,1.927246927,391.8560365,5.615588663,1,0.6116666757729272,1,1
7629,1.029658717,0.166551093,0.554685674,789.8547704,3.291601019,1619.294581,5.132347247,0,0.295292876368273,0,1
