FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
14984,0.982079397,0.169616011,0.584857012,721.7771924,1.97146056,2466.978012,6.160066579,1
8405,1.052450739,0.177599928,0.571968293,153.3272006,3.02578907,590.55702,4.456523805,0
15492,0.899094907,0.168388599,0.566436004,7.0014723,0.76773921,113.7089309,8.112857726,1
6257,1.056724623,0.158831348,0.537841904,1014.240916,2.535413632,635.9937243,6.755558921,1
5093,0.947103111,0.169772196,0.557456476,200.0113315,2.064708741,752.9785734,5.647029268,0
9819,0.986941698,0.169907044,0.565880049,974.1794497,2.529499842,2406.99217,4.558553649,0
16604,1.02407847,0.166093096,0.572431401,154.6836038,2.371884003,516.7547156,4.418217704,0
14256,1.072222033,0.16933631,0.600232363,214.4174019,2.735287728,831.3401163,4.768548816,0
15735,1.029338734,0.168464897,0.579624546,879.3951761,2.843922641,1485.857548,7.956260283,1
11886,0.987318201,0.166068267,0.5645247,132.5257127,1.42791647,471.7889798,8.6649873,0
10552,0.943214212,0.162810423,0.551854041,953.617923,2.34130104,2200.109223,5.069000751,0
15637,0.920398072,0.163755212,0.563105321,594.2422897,2.993536078,2186.549665,6.160812468,0
14911,0.985282173,0.172627524,0.574308491,157.1606114,2.687063089,550.9634055,5.923053514,0
6185,0.9394937,0.167968135,0.555181135,101.5286381,1.701968447,414.5761093,5.405242942,0
1580,1.035984691,0.173615057,0.540407186,769.960092,4.796523825,1300.020234,4.999734739,0
1703,1.037544381,0.171817294,0.538855831,969.9672651,3.287238608,1702.763051,5.527595572,0
5724,1.084871797,0.156757005,0.51712558,1478.925065,4.21468999,3046.219521,5.061080829,0
1585,1.034347539,0.17372958,0.540595394,978.4891323,4.331046588,902.9851021,7.218386123,0
7059,1.061269557,0.158939278,0.528725449,1297.827739,3.557612474,1948.299543,7.145433804,1
4522,1.032542324,0.17688883,0.569395452,127.4647999,1.789663744,310.5865091,7.066085336,1
15504,1.02057872,0.170444189,0.56312406,1153.280428,4.034711281,1263.309304,5.929441176,0
1841,0.947226248,0.173706255,0.555915228,61.47461292,2.643817563,231.0207328,5.494433245,0
4151,0.926582349,0.166230403,0.551266408,144.6149411,2.566897995,470.4812808,4.453256294,0
6715,1.0516983,0.160185143,0.536626307,825.4900776,3.394050733,381.7502046,4.63720553,0
16963,1.075598297,0.154789083,0.564000444,907.2712261,3.193185845,1316.28012,7.06099523,1
13267,1.047578169,0.164167938,0.563331642,847.3635103,1.993184052,1704.061396,7.293518809,1
2377,1.01535743,0.173407144,0.545085173,405.827304,1.094480282,49.19811994,6.279210782,1
13999,1.075152163,0.167489763,0.581553428,195.6787409,2.040716651,695.1397601,7.080072185,0
5348,0.91082525,0.163064668,0.545597447,396.6438122,2.246684338,653.3303774,4.519689937,0
3072,1.023223572,0.171755428,0.543843066,311.0899517,2.741259296,738.5657379,7.754850792,1
292,1.04139646,0.173812484,0.539303743,1075.749304,3.544447861,1549.973228,7.383282882,1
15221,1.030464102,0.16500832,0.573825598,792.2162828,3.326968352,1303.346107,4.919894104,0
12853,1.016233003,0.167361347,0.571362051,155.4250431,1.288084869,568.9491506,5.432186553,0
10978,0.949736249,0.162336353,0.552964741,277.660454,8.559027556,843.2863914,4.584399064,0
11912,1.029393422,0.165868669,0.560897353,614.8053049,3.274023992,1168.049315,6.074058783,0
17252,1.057114758,0.173713245,0.568873081,692.37128,1.834275217,991.5310419,7.312100682,1
15170,1.003711083,0.170158646,0.589584442,600.02336,2.171333721,2185.361019,6.104264834,0
17231,0.981713375,0.174126816,0.559306924,171.1616665,2.424514353,563.767315,5.974971179,1
14963,1.042539363,0.161541442,0.570304493,803.1908013,4.006630622,795.2260552,3.966421778,0
11629,0.970540066,0.164942488,0.559815309,336.7156829,2.465767533,1293.062894,5.38005339,0
7241,1.028711798,0.165168622,0.54895788,221.0252481,2.472121054,805.7072403,5.498206825,0
9596,0.946205899,0.164069974,0.553440998,1191.444571,2.516127551,2717.926131,7.282692867,1
1132,0.927972502,0.174431455,0.557328322,75.07449665,2.353180499,267.5544635,5.517751293,0
6442,0.922486547,0.151387336,0.529381464,626.9331489,1.436962485,143.0143879,8.231601758,1
2778,0.945211732,0.17179214,0.556338066,72.38646986,2.286013969,272.0089764,4.940744084,0
2831,0.899607533,0.16393976,0.545754787,46.46026565,0.805039257,192.7601625,6.815369058,1
9830,0.960590432,0.167778364,0.559413651,1280.479131,3.525395151,3968.101559,5.738978822,0
12153,1.009950344,0.17062207,0.566975366,793.1951093,3.196388882,1568.520411,7.851187041,0
16178,0.923719895,0.161488801,0.559181585,1163.694829,2.171032247,561.5822686,8.232543519,1
168,0.935876062,0.181219834,0.564313067,406.1463144,3.307651479,1301.602516,4.440323547,1
16173,1.015139925,0.171684874,0.587568291,667.8470753,2.177711449,2120.105189,9.089521519,1
16518,0.976888643,0.168836122,0.582969011,520.0770259,1.77700103,1935.257743,5.526482643,1
13332,1.043138221,0.165137189,0.564866157,1026.423209,3.311874882,1081.309486,5.697531128,0
7887,0.979947169,0.171986977,0.564349457,636.6607255,2.678906593,1603.669521,6.001598201,1
13540,1.065493343,0.168187423,0.583909234,19.51380716,1.446529194,130.7480816,6.876208013,1
14200,1.083861467,0.17160943,0.608251718,272.9848821,1.817574633,211.2501251,5.059163879,0
6374,1.044828931,0.161697377,0.538636169,602.6930047,1.930023436,387.1928775,6.851423551,0
6335,0.921104808,0.158538198,0.540807704,746.5294318,2.876212134,2305.708095,7.469668751,0
10414,1.029978693,0.170139371,0.561872203,389.7078606,2.449516981,796.9902468,7.692059561,1
3259,1.031406693,0.169381069,0.538680315,1225.791936,3.784432659,983.9398928,5.911166507,1
5565,0.936220204,0.168008647,0.55453195,8.310555638,0.95623972,40.7528754,4.587359008,1
1924,1.040393075,0.170781482,0.536320878,1664.994991,3.826603129,2149.367178,8.295187534,0
4095,0.974860345,0.17317912,0.562004144,34.69999594,1.137191594,180.0365101,4.798297991,0
145,1.043998488,0.173927972,0.538878491,1406.229916,3.681597792,2325.871903,4.759662201,1
4282,1.061441647,0.159214025,0.527587353,1368.669033,3.765135192,2429.343613,4.920695272,1
6693,0.921835693,0.151825118,0.529974109,380.456836,2.494444026,949.4512744,6.994712773,1
11130,1.049614639,0.160890337,0.551460798,154.4168239,3.3643026,422.5529834,4.989985439,0
3749,0.901173023,0.163298438,0.54498665,40.70105399,0.873337989,115.4123706,5.562281234,1
8315,1.066879527,0.157189958,0.533456946,1128.915702,3.291712847,1187.449538,4.206450944,0
1339,1.03522123,0.173539413,0.540610281,667.2375109,4.656416477,1078.707655,4.528052156,0
4502,1.035184927,0.163924368,0.542196819,303.1913895,3.054857457,370.5882509,4.186762799,0
15818,1.066223181,0.159832617,0.575692722,516.8123173,3.773902697,969.9854896,6.817155414,0
10080,1.032800608,0.165255578,0.554636805,566.7582708,2.91130321,880.5920177,5.534825986,0
7003,0.928738241,0.163456932,0.549226654,546.6472753,2.299115801,1950.570561,6.575836917,0
3525,1.022831906,0.171484246,0.543914749,358.9801976,2.783457815,607.3573213,6.835626323,1
9776,1.080393533,0.154845567,0.540937573,1125.446057,2.970144958,481.1334221,8.420654864,1
8782,0.995033297,0.173285418,0.566366289,412.8614674,2.884576545,907.7052125,4.344765472,1
7050,1.019177752,0.172610043,0.560879348,373.8220743,2.513485381,1062.483621,4.845423639,0
2939,0.948821633,0.172238098,0.556590016,30.21379521,1.233348711,124.9237163,5.808697482,0
10578,0.994025006,0.171658682,0.566484213,607.7607136,3.326644421,2064.711264,5.809646423,0
12873,1.035946431,0.167783432,0.570900931,1196.420049,1.52946503,1149.135287,6.832537562,1
11656,1.021051629,0.169441174,0.563785476,437.3423076,2.771519959,1027.71191,7.802895152,1
376,1.024418021,0.173907425,0.54225054,1277.47124,6.621826514,1523.845829,3.983321961,0
8045,1.043594572,0.175795049,0.569696866,163.94007,2.434720027,285.5116691,5.887791223,0
